,file,artist,title,lyrics,tags,mood
4464,TRAOGAZ128F42B7FFC.h5,The Killers,When You Were Young,"You sit there in your heartache
Waitin' on some beautiful boy to
To save you from your old ways
You play forgiveness, watch it now, here he comes

He doesn't look a thing like Jesus
But he, talks like a gentleman
Like you imagined when you were young

Can we climb this mountain? I don't know
Higher now than ever before
I know we can make it if we take it slow
Let's take it easy, easy now, watch it go

We're burnin' down the highway skyline
On the back of a hurricane, that started turnin'
When you were young
When you were young

And sometimes you close your eyes
And see the place where you used to live
When you were young

They say the Devil's water, it ain't so sweet
You don't have to drink right now
But you can dip your feet
Every once in a little while

Woo!

(Send me)

(Oh)

You sit there in your heartache
Waitin' on some beautiful boy to
To save you from your old ways
You play forgiveness, watch it now, here he come

He doesn't look a thing like Jesus
But he talks like a gentleman
Like you imagined when you, were young (Talks like a gentleman)
(Like you imagined when) When you were young

I said he doesn't look a thing like Jesus
He doesn't look a thing like Jesus
But more than you'll ever know","['rock', 'indie rock', 'indie', 'alternative', 'alternative rock', 'The Killers', 'american', 'Killers', 'favorites', 'Awesome', '00s', 'when you were young', 'Guitar Hero', 'pop', 'seen live', '2006', 'Guitar Hero 3', 'Energetic', 'rock band', 'pop rock', 'britpop', 'new wave', 'Love', 'catchy', 'Favourites', 'male vocalists', 'Love it', 'cool', 'Favorite', 'beautiful', 'upbeat', 'Bittersweet', 'guitar hero III', 'amazing', 'las vegas', 'party', 'loved', 'synth rock', 'summer', 'favorite songs', 'favourite', 'love at first listen', 'he doesnt look a thing like Jesus', 'songs to hear before you die', 'dance', 'memories', 'epic', 'great', 'good', '2000s', 'Soundtrack Of My Life', 'punk', 'emo', 'energy', 'Driving', 'male vocalist', 'USA', 'happy', 'guitar', 'punk rock', 'top 40', 'powerful', 'classic rock', 'indie pop', 'Nevada', 'great song', 'great lyrics', 'want to see live', 'british', 'nostalgic', 'nice', 'fav', 'Guilty Pleasures', 'perfect', 'save me', 'gute laune', 'Good Stuff', 'Favourite Songs', 'awesomeness', 'jesus', 'good music', 'rockin', 'alt', 'singstar', 'When we were young', 'The Killers-When You Were Young']",1
4466,TRAJNIL12903D15541.h5,Dead Kennedys,Kill the Poor,"Efficiency and progress is ours once more now that we have the neutron bomb
It's nice and quick and clean and gets things done
Away with excess enemy, but no less value to property
No sense in war but perfect sense at home

The sun beams down on a brand new day, no more welfare tax to pay
Unsightly slums gone up in flashing light
Jobless millions whisked away, at last we have more room to play
All systems go to kill the poor tonight

Gonna kill, kill, kill, kill, kill the poor
Kill, kill, kill, kill, kill the poor
Kill, kill, kill, kill, kill the poor tonight

Behold the sparkly of champagne, the crime rate's gone, feel free again
Oh life's a dream with you, Miss Lily White
Jane Fonda on the screen today convinced the liberals it's okay
So let's get dressed and dance away the night

While they kill, kill, kill, kill, kill the poor
Kill, kill, kill, kill, kill the poor
Kill, kill, kill, kill, kill the poor tonight

Kill, kill, kill, kill, kill the poor
Kill, kill, kill, kill, kill the poor
Kill, kill, kill, kill, kill the poor tonight

Behold the sparkly of champagne, the crime rate's gone, feel free again
Oh life's a dream with you, Miss Lily White
Jane Fonda on the screen today convinced the liberals it's okay
So let's get dressed and dance away the night

While they kill, kill, kill, kill, kill the poor
Kill, kill, kill, kill, kill the poor
Kill, kill, kill, kill, kill the poor tonight

Kill, kill, kill, kill, kill the poor
Kill, kill, kill, kill, kill the poor
Kill, kill, kill, kill, kill the poor tonight

Kill, kill, kill, kill, kill the poor
Kill, kill, kill, kill, kill the poor
Kill, kill, kill, kill, kill the poor tonight","['punk', 'punk rock', 'hardcore punk', 'political', 'hardcore', 'rock', '80s', 'Dead Kennedys', 'political punk', 'alternative', 'Classic Punk', 'conservative', 'impossible for liberals to deal with', 'Old School Punk', 'Kill The Poor', 'California', 'Americas Truth Detector', '70s', 'american', 'jello biafra', 'aggressive', 'satire', '1980', 'Favorite Bands', 'USA', 'old school', 'live', 'punkrock', 'gladys the tag', 'fantastic opener', 'neatneatneat', 'classic', 'new wave', 'post-punk', 'party', 'marxist', 'male vocalists', 'funny', 'anarcho-punk', '80s punk', 'Bay Area', 'libertarian', 'kick ass', 'KILL', 'top rock songs', 'top punk songs', 'Alternative Tentacles', 'chomskyan hardcore in the dark shattered underbelly of the american dream', 'Hartz IV', 'lizvelrene loves', 'similar to: minutemen', 'V for Varoufakis']",3
4479,TRBBAHD128F428E0FE.h5,Tones On Tail,Burning Skies,"And the air was alive
With piercing sound and burning skies
The horror did me good,
The magic was on my side

And hot and cold ideas
Were running onto your eyes
Your sinking grey eyes
She shook his head like so much meat
The horror did me good
Time to exercise 

Like ice about to melt
You empty yourself of everything
It's cold and grey again
Your body begins to fall

The colour blinds your eyes
The flavour dulls your taste of anything
You try to break out
But some thing's just locked the door 

You'll get blue eyes
If you stand too close to him
And if I jump for help
You die inside your dream
I love you like you love me not
I love you like you love me not

You'll get blue eyes
If you stand too close to him
And if I jump for help
You die inside your dream
I love you like you love me not
I love you like you love me not

You'll get blue eyes
If you stand too close to him
And if I jump for help
You die inside your dream
I love you like you love me not
I love you like you love me not

And the air was alive
With piercing sound and burning skies
The horror did me good,
The magic was on my side

And hot and cold ideas
Were running onto your eyes
Your sinking grey eyes
She shook his head like so much meat
The horror did me good
Time to exercise","['post-punk', '80s', 'Gothic Rock', 'goth', '1983', 'antial', 'Gothic', 'darkwave', 'rock', 'alternative', 'ambient', 'industrial', 'new wave', 'moody', 'bauhaus', 'loved tracks', 'Roctronik', 'party according to stretchead', 'loved according to stretchead', 'trance', 'electronic', 'indie', 'british', 'alternative rock', 'indie rock', 'favorites', 'calm', 'Love', 'psychedelic', 'postpunk', 'nice', 'Calming', 'male vocalists', 'Great Lyricists', 'work', 'childhood', 'male vocals', 'hmmm', 'loneliness after dusk', 'three', 'addicting', '1980s', 'suicidal', 'the word burn', 'the word sky', 'goth rock', 'Britrock', 'try', 'batcave', 'british rock', 'eno', 'banned', 'Horrorpunk', 'pure sex', 'Love this song', 'meloncholy', 'been a fan', 'serendipity', 'rainy day songs', 'heavy weather', 'songs i like', 'Everything i need', 'my youth', 'ridiculously awesomely good', 'High School Memories', 'lucipro', 'transitmelancolic', 'present participle', 'strangeromanticdeadrockcave', 'I want back to the 80s', 'e-bow', 'uk rock', 'yesss', 'psycho punk', 'reminds me of high school', 'I see Stars', 'old tape memories', 'Skitz0rz', 'music to makeout to', 'songs of ice and fire', 'filmweb', 'transitglambat', 'aural morphine', 'tones on tail', 'I adore this track', 'rockoteka', 'old school night', 'Burning Skies', 'uderzenie prosto w twarz', 'the boys from northampton', 'holloween skitz0rz', 'my recommendations station', 'damn this is awesome', 'lol this is not fantasy wtf', 'tails on a toned cat', 'decade of my youth']",4
4497,TRASHPV128F4281CB1.h5,The Strokes,Meet Me In The Bathroom,"When they say promises
They mean promises
They'd say, ""That's okay
Long as we can celebrate""
You see, my uncle would say
Things would change when he's dead

""Meet me in the bathroom""
That's what she said
I don't mind, it's true

Never was on time
Yes, I once was mine
Well, that was long ago
And darling, I don't mind
Yeah, we were just two friends in lust
And baby, that just don't mean much
You trained me not to love
After you showed me what it was

Now she's staring wide-eyed
Can't close her eyes
Anywhere is fine
Just don't waste my time
You see, my uncle would say
Things would change once he's dead

""Meet me in the bathroom""
That's what she said
I don't mind, it's true

Never was on time
Yes, I once was mine
Well, that was long ago
And darling, I don't mind
Yeah, they were just two fucks in lust
Baby, that just don't mean much
You trained me not to love
After you taught me what it was","['indie rock', 'rock', 'indie', 'alternative rock', 'alternative', 'Garage Rock', 'american', 'The Strokes', 'indie pop', 'garage rock revival', '00s', 'Strokes', 'seen live', 'new york', 'post-punk', '2003', 'Post-punk revival', 'USA', 'pop rock', 'Love', 'NYC', 'favorite songs', 'sexy', 'Retro', 'Indie-Rock', 'cool', 'male vocalist', 'male vocalists', 'Favourites', 'favourite artists', 'new york indie', 'indiecent music', 'Jump N Shake', 'rock love', 'skinny pants', 'dancing with my toothbrush', 'Classical', 'british', 'post-rock', 'hard rock', 'UK', 'favorites', 'happy', 'Lo-Fi', 'new wave', 'britpop', 'RockPop', 'fantastic', 'Awesome', '2004', 'guitar', 'upbeat', 'Energetic', 'funky', 'amazing', 'favourite', 'nice', 'loved', 'good', 'depressing', 'live', 'not indie', 'rock n roll', 'hot', 'Favorite', 'sleazy', 'popular', 'alt rock', 'dance rock', 'love at first listen', 'uptempo', 'punkish', '8 of 10 stars', 'Bandas que amo', 'late', 'New York City', 'FUCKING AWESOME', 'Love it', '2000s', 'favorite song', 'party time', 'interessant', 'eyes', '6 of 10 stars', 'feelgood', 'Favourite Songs', 'dancefloor', 'Cool Stuff', 'Sleeping', 'sleaze', 'alternrock', 'rca', 'skapunk', 'oooo', 'city', 'gut', 'hipster', 'attitude', 'summer 06', 'play loud']",1
4523,TRAAGPJ128F428CD1B.h5,Queens Of The Stone Age,I Never Came,"When you say it's dead and gone
Yes, I know you're wrong
Cut and slash, sharpest knife
It won't die
Poison cup, drank it up
It won't die
No fire, no gun, no rope, no stone
It won't die

Why you gotta shove it in my face
As if you put me in my place?
'Cause I don't care if you or me is wrong or right
Ain't gonna spend another night
In your bed
In your bed

Laws of man are just pretend
They ain't mine
Love so good, love so bad
It won't die
Some talk too long, they know it all
I just smile and move on

Words ain't free, like you and me
I don't mind

Why'd you have to be so mean and cruel?
The dogs are loose, I'm on to you
You ball and chained together from the dawn to dusk
Can't call it leavin', 'cause it's just
I never came
I never came
I never came
I never came
I never came
I never came","['Stoner Rock', 'rock', 'alternative rock', 'alternative', 'Queens Of The Stone Age', 'hard rock', 'desert rock', '00s', 'Josh Homme', 'qotsa', 'heard on Pandora', 'seen live', 'Awesome', 'Psychedelic Rock', 'chill', 'favorite songs', 'soft rock', 'stoner', 'queens', 'beautiful', 'loved', 'stoner metal', '2005', 'heavy metal', 'indie', 'indie rock', 'favorites', 'american', 'alternative metal', 'Favourite Songs', 'this would be a classic if there was any justice in the world', 'driving alone in the night', 'I Never Came', 'metal', 'chillout', 'sad', 'Melodic Death Metal', 'psychedelic', 'modern rock', 'male vocalists', 'great riffs', 'songs that you wanna listen to over and over again', 'simply great', 'great vocalists', 'alternative romantic collection', 'love that beat', 'lullabies to paralyze', 'rocking in the dark', 'black metal', 'electronic', 'classic', 'Grunge', 'emo', 'Cool music', 'epic', 'dark', 'guitar', 'loud', 'laid back', 'thrash metal', 'Mellow', 'top', 'melancholy', 'death metal', 'Gothic Metal', 'Best of 2005', 'I like', 'good', 'underrated', 'great lyrics', 'Gothic Rock', 'Favourites', 'alt rock', 'roadtrip', 'lovely', 'love at first listen', '5 Stars', 'Desert', 'play', 'Power metal', 'sweet', 'perfect', 'wake up', 'robot rock', 'bitterness', 'Masterpiece', 'radio paradise', 'radioparadise', 'sing along', 'repeatrepeatrepeat', '7 of 10 stars', 'LOVE LOVE LOVE', 'songs about masturbation', 'x', 'alternrock', 'psych rock', 'Best music ever', 'rockin', 'Orgasmic', 'Tasty']",2
4541,TRAISYO128E07888A6.h5,Mariah Carey,Mine Again,"I remember when you used to be mine
Way back when
I was too naive to love you right
But now if I only had the opportunity
I would do anything
Because my heart still believes

Maybe you could be mine again
Maybe we could make the dream for real
Like way back then
When love was yours and mine
Maybe we could bring it back to life

Its irrelevant to dwell in the past
I'm accountable for what went bad
And I mean that
But I keep on praying for another chance
Just to have you back
'Cause I've grown
And I know how to be your everything

Maybe you could be mine again
Maybe we could make the dream for real
Like way back then
When love was yours and mine
Maybe we could bring it back to life

Oh, no it ain't over yet
I just can't accept the possibility
We were made for each other's arms
I know you're my destiny
We can't erase what was meant to be
Part of you and part of me
If we try one more time
Maybe somehow we'll survive

Maybe you could be mine again
Maybe we could make the dream for real
Like way back then
When love was yours and mine
Boy, maybe we could bring it back
Maybe we could bring it back
Maybe we could bring it back
To life

Maybe you could be mine again","['rnb', 'Mariah Carey', 'pop', 'soul', 'female vocalists', 'mine again', 'Love', 'slow jams', 'r&b', 'r and b', 'soulful', '00s', 'Ballad', '2005', 'mariah', 'female', 'chill', 'sexy', 'Voice', 'diva', 'Mellow', 'love songs', 'Favorite', 'love song', 'ballads', 'Amazing song', 'divas', 'sad', 'singer-songwriter', 'pop rock', 'favorites', 'christmas', 'Smooth Soul', 'quiet storm', 'Contemporary', 'adult contemporary', 'american', 'eu', 'smooth', 'new', 'inspired', 'amazing', 'soft', 'emotional', 'relaxing', 'female vocals', 'female vocalist', 'rhythm and blues', 'english', 'Neo-Soul', 'Perfection', 'Black', '2000s', 'favorite song', 'wjlb-FM', 'sing along', 'sex music', 'Faves', 'hott', 'joe', 'grooves', 'memory', 'drama', 'sing', 'sexy female vocals', 'lawism', 'whoa', 'chill music', 'whistle register', 'Soul And RB', 'butterfly', 'teenager', 'soul music', 'cool down', 'Pop Life', 'contemporary rnb', 'best song', 'slowjam', 'Talent', 'rhythum and blues tag', 'New Soul - Hip Hop - Rap', 'mimi', 'Mellow songs', 'Silky Sexy Smooth', 'slow soul love jams', 'Classic Ballad', 'the shit I love', 'favorite lyrics', 'voce', 'GoodVibes', 'down-lo', 'sadsong', 'Grammy nominated', 'soppy love pop', 'slow sessions', 'soul ballad', 'Ever Lasting Love', 'uszy wiedna', 'Emancipation', 'rainha']",2
4556,TRAULGT12903D10B94.h5,BB King,She Don't Move Me No More,"Ooh baby, baby you don't move no more
Ooh-wee baby, you don't move no more
I believe, baby I believe I'm gonna let you go

Lord, early in the mornin', baby
You don't wash my face like you used to do
Well, early in the mornin', baby
You don't wash my face like you used to do
Well, you know baby, baby you know that'll never do

Oh, if I should cry, baby would that do poor B. any good?
Well, if I should cry darlin', honey, would it do poor B. any good?
Well, I hate for all my people to know baby
I'm the biggest fool in the neighborhood","['blues', 'downtempo', 'slow', 'guitar', 'melancholy', 'male vocalist', 'lost love', 'whiskey drinking music', 'that girl']",2
4591,TRAPNDJ128F427AB8A.h5,Janis Joplin,Get It While You Can,"In this world, if you read the papers, darling,
You know everybody's fighting on with each other.
You got no one you can count on, dear,
Not even your own brother.
So if someone comes along,
He's gonna give you some love and affection
I'd say get it while you can, yeah!
Honey, get it while you can yeah,
Hey, hey, get it while you can,
Don't you turn your back on love, no, no! 

Don't you know when you're loving anybody, baby,
You're taking a gamble on a little sorrow,
But then who cares, baby,
'Cause we may not be here tomorrow, no.
And if anybody should come along,
He gonna give you any love and affection,
I'd say get it while you can, yeah!
Hey, hey, get it while you can,
Hey, hey, get it while you can.
Don't you turn your back on love,
No no no, no no no no no. 

Oh, get it while you can,
Honey get it when you're gonna wanna need it dear, yeah yeah,
Hey hey, get it while you can,
Don't you turn your back on love,
No no no, no no no no, get it while you can yeah,
I said hold on to somebody when you get a little lonely, dear,
Hey hey, hold on to that man's heart,
Yeah, get it, want it, hold it, need it,
Get it, want it, need it, hold it,
Get it while you can,
Honey get it while you can, baby, yeah,
Hey hey, get it while you can!","['classic rock', 'blues', 'rock', 'female vocalists', 'Janis Joplin', 'blues rock', '60s', 'soul', 'female vocalist', '70s', 'psychedelic', 'Psychedelic Rock', 'singer-songwriter', 'american', 'female', 'janis', 'hippie', 'pop', 'alternative', 'folk', 'hard rock', 'oldies', 'female vocals', 'lovely', 'legends', 'woodstock', 'pearl', 'Morose Deep dilate Crimson', 'red shoes ecstasy', 'slgdmtopalbums', 'indie', 'classic', 'country', 'USA', 'favorites', 'Love', 'Rock  Roll', 'blues-rock', 'best', 'drugs', 'great songs', 'LOVE LOVE LOVE', 'the best', 'best mouth in rock', 'Soft Blues', 'Joplin', 'Women in Blues', 'lonely hearts', 'Janis Joplin-Get it While You Can', 'instrumental', '80s', 'Grunge', 'alternative rock', 'reggae', 'sad', 'dance', 'memories', 'slow', 'calm', 'piano', 'epic', 'album rock', 'country-rock', 'romantic', 'other', 'RockPop', 'fantastic', 'beautiful', 'feel good', 'Voice', 'organ', 'vocals', 'genius', 'Mellow', 'party', 'melancholy', 'Favorite Artists', 'favourite', 'Bittersweet', 'relaxing', 'fip', 'live', 'great lyrics', 'rock n roll', ""60's"", 'folkrock', 'female artists', 'laptop', 'outlaw country', 'Pop-Rock', 'san francisco', 'Female Voices', 'suicide', 'Ecstasy', 'Satellite', 'radio paradise', 'radioparadise', 'emotive', 'listen again', '10 of 10 stars']",2
4592,TRANCCN128E0794B18.h5,30 Seconds To Mars,Hunter,"If travel is searching
And home what's been found
I'm not stopping

I'm going hunting
I'm the hunter
I'll bring back the goods
But I don't know when

I thought I could organize freedom
How American of me
This is who I am
You figured it out, didn't you?

You could smell it
So you left me on my own
To complete the mission
Now I'm leaving it all behind

I'm going hunting
I'm the hunter
I'm the hunter
I'm the hunter...

You just didn't know me... [x7]","['alternative rock', 'cover', 'rock', 'alternative', '30 seconds to mars', 'emo', 'covers', 'indie', 'electronic', 'Progressive rock', 'electronica', 'Jared Leto', 'bjork', 'screamo', 'space rock', '30stm', 'american', '00s', 'hunter', 'beautiful', 'relax', 'bjork cover', 'experimental', 'hard rock', 'dark', 'synth', 'neo-progressive', 'amayzes loved', 'silent intensity', 'chillout', 'favorite songs', 'indie electronic', 'bjork covers', 'favorites', 'industrial', 'melodic', 'alternative metal', 'amazing', 'Favorite', 'i had to change my pants after this song', 'sexy voice', 'sexy songs', 'davaho53', 'climatic', 'A Beautiful Lie', 'seen live', 'indie rock', 'Love', 'male vocalist', 'post-grunge', 'interesante', 'better than the original', 'favorite covers', 'synth rock', 'shoe gaze', 'sunsets and bonfires and shooting stars', 'cool sweet and sensual', 'eyes closed', 'it slowly rises', 'music to crash yr bike to', 'Hardcore-Screamo-Emo', 'bjork rock', 'wt holy f', 'pop', 'chill', 'punk', 'Grunge', 'ambient', 'sexy', 'Progressive metal', 'sad', 'singer-songwriter', 'electro', 'pop rock', 'epic', 'new wave', 'urban', 'post-punk', 'indietronica', 'Awesome', 'idm', 'psychedelic', 'weird', 'moody', 'Reflective', 'haunting', 'driving music', 'trip hop', 'dream pop', 'scary', 'genius', 'Progressive', 'Mellow', 'Paramore', 'punk rock', 'melancholy', 'Sleep', 'good shit', 'favourite', 'relaxing']",2
4595,TRAFFPR128F421A35F.h5,Anti-Flag,Spaz's House Destruction Party,"I wanna tell you a little story about a party that went all right but went all wrong
I wanna tell you a little story about a party in this song...

It happened back in '93, in the PITTSBURG PUNK ROCK SCENE
An event that will go down, in infamy
It was all the masterplan, of one legendary PUNK ROCK KID
His name was ""Spaz"", S-P-A-Z

An eviction notice to his house sparked off an idea
""I should have one last party at my place...""
So off he set with his master plan, the invitation in his hand read:
""You're invited to my House Destruction Party!""

Spaz's House Destruction Party, it was chaos with no end
If you were crazy enough to make the House Destruction Party then you know
You're lucky that you lived

Let's go!

We played there St. Patrick's Day with Submachine and THE BAD GENES
In a basement full of debris
From kicked in doors, broken glass, knocked in walls, THE PLACE WAS THRASHED
The house was now missing it's support beams

The bathrooms had no toilets or sinks left in them
There was nothing in the kitchen left to break
Aus Rotten spray painted on the walls, drunk punks passed out in the halls
And this was just the second night of the three-day long party

Spaz's House Destruction Party, it was chaos with no end
If you were crazy enough to make the House Destruction Party then you know
You're lucky that you lived

The cops showed up and all the kids went piling out the back
I remember running away and hiding out in the lot behind the Squirrel Hill Mellon Bank
The cop said, ""I wanna speak to someone who lives here!"" and this punk kid said she did
He asked, ""Is this the condition the house has always been in?""
She answered, ""Uh... yeah, it is.""

Spaz's House Destruction Party, it was chaos with no end
If you were crazy enough to make the House Destruction Party then you know
You're lucky that you lived

Let's go! hey...","['punk rock', 'Anti-Flag', 'punk', 'favorites', 'punkrock', 'political punk', 'Underground Network', 'House', 'fantastic', 'american', 'party', 'political', 'radiohead', 'male vocalist', 'great lyrics', 'Yay', '2000s', 'english lyrics', 'sing along', 'Favourite Songs', '2001', 'different', 'happiness', 'Destruction', 'Building', 'Meaningful', 'spaz', 'Punk-Rock', 'punk rawk', 'i just wanna dance', 'name in title', 'the same three power chords', 'music that makes me melt', 'Full Blast', 'shower singalong song', 'Punk Favorites', 'Songs To Make You Think', 'spaz gotta sweet hawk', 'mobilize', 'Spazs House Destruction Party', 'Justin Sane', 'Class of 2003', 'a document of dissent', 'k1r7m']",1
4597,TRAWGKB128F4268327.h5,Disembowelment,Your Prophetic Throne Of Ivory,"Translucent plains envisioned beyond the horizon,
I hear the flapping of wings,
The bestoking tranquillity of irredescent spectrum,
The birds circle around my presence,
Hinting at pale sightings of Kadmos,
All alone for dust ridden aeons,
Alienation Your inner method of nirvana,
There is no night, no day -
Kadmos Your preserved brotherhood,
The ivory Your only solace,
In flight we persevere into the lights of the ivory plains,
Structures from silence,
Petals in the stream,
Murk above the dark moor,
The eastwinds brush the dust from Your prophetic throne,
In lands of I never saw,
Where the equinox was permanent,
The elephants trun the icon of Your only existence,
For their is nothing else,
In flight we persevere into the mists of ivory plains,
Foregather in the name of Moros and remember our lands.","['doom metal', 'Death Doom Metal', 'death doom', 'death metal', 'funeral doom metal', 'metal', 'Doom', 'amazing', 'death-doom metal', 'epic', 'dark', 'funeral doom', 'australian', 'fantastic', 'beautiful', 'atmospheric', 'eerie', 'sinister', 'Masterpiece', 'atmospheric doom metal', 'depressive', 'fucking incredible', 'rifftastic', 'Filthy', 'doom-death', 'Death/Doom Metal', 'death/doom', 'bands I need to check out', 'gloom metal', 'doom metal UFOOOOOOOOOOOOOOOOOOOOOOOOOOOOO']",2
4608,TRARDJY128F14750EA.h5,30 Seconds To Mars,Year Zero,"Be a hero
Kill your ego
It doesn't matter it's all just a pack of lies
Build a new base
Steal a new face
It doesn't matter it's all just to save you

We'll never fade away
We'll never fade away

I will stand by your ground
I will tear down myself
I won't fade

Year zero
Another hero
Is anybody alive here across the line?
Buy a new face
Start a new race
It doesn't matter it's all just to save your face
(It's all just to save you)
It's all just to save your face
(It's all just to save you)

We'll never fade away
We'll never fade away

I will stand by your ground
I will tear down myself
I will stand by your ground
I will tear down myself
I won't fade...
I won't fade...

We'll never fade away
We'll never fade away
We'll never fade away
We'll never fade away
We'll never fade away
We'll never fade away (we will never fade away)
We'll never fade away (we will never fade away)
We'll never fade away (we will never fade away)
We'll never fade away (we will never fade)
We'll never fade away (we will never fade away)
We'll never fade away (we will never fade)
We'll never fade away","['alternative rock', 'rock', 'alternative', '30 seconds to mars', 'Progressive rock', 'emo', 'space rock', 'indie', 'metal', 'hard rock', 'alternative metal', 'american', '00s', '30stm', 'indie rock', 'alternrock', 'Jared Leto', 'year zero', '-year zero-', 'seen live', 'Love', 'epic', 'new wave', 'atmospheric', 'favourite', 'good', 'Favorite', 'post-hardcore', 'FUCKING AWESOME', 'tool', 'rockin', '3 star', 'Shannon Leto', 'Tomo Milicevic', '2000s alternative', 'good angry rock', 'fucking amazingggg', 'electronic', 'electronica', 'pop', 'favorite songs', 'experimental', 'sexy', 'favorites', 'dark', 'christmas', 'genius', 'cosmic', 'new', 'punk rock', 'screamo', 'California', 'male vocalist', 'holy shit', 'shit', 'los angeles', 'apocalyptic', 'Library', 'Love it', 'wonderful', '2000s', '30', '3 stars', 'Deftones', '6 of 10 stars', '4 of 10 stars', 'Emo rock', 'art-rock', 'Nu-metal', 'foreplay', 'sound storm', 'not emo', 'kick ass', 'Immortal', 'System of a Down', 'rome-italian neoclassical post-progressive emocore', '11', 'number songs', 'Saved', 'I Dont Like', '2000s rock', 'rauhoittavia', 'Music that makes me happy', 'misshes station', 'SHIT SHIT SHIT', 'so sorry', 'Quality stuff', 'might like', 'kivoja', 'leijuvaa', '30 seconds- year zero', '30 Seconds to Mars - Attack', 'favorite by this artist', 'calendrical verses', 'WatchMeFlyStation', 'habri', 'rintamalla', 'matt wachter', 'eoic', 'hello mr']",2
4616,TRAKTWZ128EF35E206.h5,Janet Jackson,When I Think Of You,"Ooh, baby
Anytime my world gets crazy
All I have to do to calm it
Is just think of you

'Cause when I think of you, baby
Nothin' else seems to matter
'Cause when I think of you, baby
All I think about is our love

I just get
More attached to you when
You hold me in your arms and squeeze me
And you leave me, makin' me blue

'Cause then I think of you, baby
Nothin' else seems to matter
'Cause when I think of you, baby
All I think about is our love

So in love (so in love)
Ooh (so in love)
With you (so in love)
Baby (so in love)
Ooh (so in love)
Hee (so in love)
With you (so in love)
(So in love)

When I think of you (when I think of you)
When I think of you (when I think of you)
Bass

I'm so in love
I just think of you
If you're not around, I'm
When I think of you

 (So in love)
Ooh (so in love)
So in love (so in love)
With you (so in love)
Baby, you (so in love)
Ooh (so in love)
So in love (so in love)
With you (so in love)

Hahahaha
Feels so good
When I think of you
Yeah, yeah
Baby","['80s', 'pop', 'dance', 'janet jackson', 'rnb', 'female vocalists', '1986', 'soul', 'classic', 'when i think of you', 'funk', 'female vocalist', 'janet', 'singer-songwriter', 'happy', 'american', 'flirty', 'Jam and Lewis', 'favorites', 'dance-pop', 'love songs', 'Love it', '1980s', 'jimmy jam and terry lewis', 'divas', 'Hip-Hop', 'sexy', 'catchy', 'adult contemporary', '90s', 'r&b', 'synthpop', 'old school', 'Uplifting', 'top 40', '80s Pop', 'attitude', 'billboard number ones', 'Jackson Family', 'sleek', 'us number one', 'classic janet', 'dx7', 'design of a decade', 'jazzysrnbpop', 'Disco', 'chillout', 'hip hop', 'memories', 'energy', 'urban', 'soft rock', 'trumpet', 'feel good', 'eighties', 'upbeat', 'diva', 'Mellow', 'party', 'smooth', 'r and b', 'Random', 'favourite', 'fun', 'fluxblog', 'check', 'dance pop', ""80's"", 'female artists', 'hot', 'female vocal', 'best', 'heart', 'fmera fave', 'fmera pop', 'love at first listen', 'nostalgia', 'Sommer', 'Fun fun fun', 'love song', 'Black', 'greatest hits', 'classics', 'laugh', 'FUCKING AWESOME', 'love the lyrics', 'favorite by this singer', 'eclectonia', 'wjlb-FM', 'You and I', 'first person songs', 'the word you', 'electrorock', 'Radio Music', 'Favourite Songs', 'extensive vamping', 'major key tonality', 'repetitive melodic phrasing', 'acoustic rhythm piano', 'Old School soul']",1
